what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768746555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768762871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768763311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768763707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768770345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768770661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768771120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768780796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768781189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768781604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768788765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768791292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768792294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768794891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768800856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768803070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768880376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504768880580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504769200342
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504769209164
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1504769233683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504769262400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504775024119
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504775031379
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1504775032406
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1504775032414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504775039989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504775056780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504775064989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1504775070079
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1504775076666
error,log,,,"The archive: E:/Program Files (x86)/Apache Software Foundation/Tomcat 6.0/bin/bootstrap.jar which is referenced by the classpath, does not exist.",1504775076719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504775076734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504775090068
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1504775092351
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504775097487
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1504775105529
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504775121781
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504775122317
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504775122394
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1504775131178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504775131476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504775131556
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1504775131637
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1504775134404
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504775134404
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504775136065
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504775145552
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504775147927
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1504775156428
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504775156429
