what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505197173899
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1505197180938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197183849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197201266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197209316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197220258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1505197220263
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1505197225209
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1505197225257
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1505197225789
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1505197225838
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1505197225875
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1505197225950
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1505197226151
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1505197226177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197226182
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1505197227525
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1505197227713
error,log,,,"Provisioning exception",1505197227757
error,log,,,"Provisioning exception",1505197242286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197253873
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1505197253882
error,log,,,"Provisioning exception",1505197254344
error,log,,,"Provisioning exception",1505197259584
error,log,,,"Provisioning exception",1505197262761
error,log,,,"Provisioning exception",1505197262894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197264081
error,log,,,"Provisioning exception",1505197264435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197264965
error,log,,,"Some sites could not be found.  See the error log for more detail.",1505197267011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197267017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197269415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197297293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197312258
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1505197327050
error,log,,,"Provisioning exception",1505197327052
error,log,,,"Provisioning exception",1505197327053
error,log,,,"Provisioning exception",1505197327055
error,log,,,"Provisioning exception",1505197327056
error,log,,,"Provisioning exception",1505197327057
error,log,,,"Provisioning exception",1505197327057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197327430
error,log,,,"Provisioning exception",1505197328522
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1505197328618
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1505197328679
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1505197328940
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1505197329085
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1505197331977
error,log,,,"Some sites could not be found.  See the error log for more detail.",1505197398433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197460762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197461565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197466147
error,log,,,"Provisioning exception",1505197478779
error,log,,,"Provisioning exception",1505197478779
error,log,,,"Provisioning exception",1505197478780
error,log,,,"Provisioning exception",1505197478780
error,log,,,"Provisioning exception",1505197478781
error,log,,,"Provisioning exception",1505197478783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197478835
error,log,,,"Provisioning exception",1505197480207
error,log,,,"Some sites could not be found.  See the error log for more detail.",1505197480209
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505197480775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505197483678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197487789
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1505197487795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505197489025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505198504196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505198510790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505200962201
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1505200962584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505200963426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505200966659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505200967749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505200976687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505200977351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201043041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201046273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201115629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201119048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201121636
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505201122270
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505201122324
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1505201122326
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1505201132217
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1505201133503
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1505201140390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505201141449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505201154671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201158854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201166148
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors.lineNumberToggle",1505201171062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201181412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201336784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201345589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201585199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505201587311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505201589614
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1505201591681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505201592578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201595234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201599747
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1505201601993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201608586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201615368
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505201619153
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1505201619493
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505201626654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505201628270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505201629488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505201631280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505206532360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505206534374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505206847514
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505206852029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505206854408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505207499688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505207500924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505209765361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505209767448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505209769786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505209779016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505209783233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505209785398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505209789592
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1505209797527
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505209806209
started,bundle,com.adobe.flexide.as.core,4.6.0.328916,"com.adobe.flexide.as.core",1505209814316
started,bundle,com.adobe.flexide.mxml.core,4.6.0.328916,"com.adobe.flexide.mxml.core",1505209814922
started,bundle,com.adobe.flexbuilder.mxml.editor,4.6.0.328916,"com.adobe.flexbuilder.mxml.editor",1505209815829
