what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504848529829
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1504848544494
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504848563422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504848573360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504848701115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504848701775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504848703780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504848727609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504848728515
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1504848728669
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1504848728749
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1504848741593
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1504848741626
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1504848741776
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1504848741826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504848795112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849778630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849784419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849787411
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1504849789920
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1504849790007
started,bundle,com.adobe.flexbuilder.flexunit,4.6.0.328916,"com.adobe.flexbuilder.flexunit",1504849790226
started,bundle,com.adobe.flexbuilder.as.editor,4.6.0.328916,"com.adobe.flexbuilder.as.editor",1504849790398
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504849799358
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1504849800535
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1504849800589
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1504849800864
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1504849800958
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1504849804980
error,log,,,"The server is invalid or missing",1504849805040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849805087
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1504849805098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849806300
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504849811771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504849811825
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504849813432
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504849813650
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504849820721
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1504849833054
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1504849833066
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504849840650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849852122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849853889
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1504849853897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849854253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849856921
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1504849857149
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504849857392
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1504849857557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849885412
started,bundle,com.adobe.flexbuilder.launching.ui,4.6.0.328916,"com.adobe.flexbuilder.launching.ui",1504849890020
started,bundle,com.adobe.flexbuilder.debug,4.6.0.328916,"com.adobe.flexbuilder.debug",1504849890513
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1504849897497
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1504849904943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849908952
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1504849909313
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1504849909347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849909433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849910701
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1504849912747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1504849912902
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504849915467
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1504849918671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849918942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849936057
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504849948872
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1504849951178
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1504849959037
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1504849959038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849959300
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1504849959322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849967652
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1504849973595
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1504849973610
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1504849973610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849973992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849977828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504849984561
