what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124579878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124580180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124590012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505124651454
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505124653536
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505124659170
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505124662934
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505124664472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124667954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124669082
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505124685401
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505124689201
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505124690322
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505124691376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124725920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124726384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124726911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124741568
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505124745996
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1505124751734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124754327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124755696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505124758140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125121841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125125798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125126732
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505125127125
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505125127161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125138422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125139068
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1505125139560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125141595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125142215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125143779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125170479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125171046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125208702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505125220305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125222652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125223304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125224381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125234616
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505125236237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125240887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125250710
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505125292568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505125306850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505125309930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505125310145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125312493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125387370
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505125391593
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505125391602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1505125392972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505125393822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125395243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125396577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505125397203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126249399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126250575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126250729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126250729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126982494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126982509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126983951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126985077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126987322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505126988331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127020642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127025406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127026056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127026881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127039783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127040185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127047135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127047747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127258068
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505127259904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127263616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127264499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1505127267941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505127268851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127283531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127284334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127284760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127325567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127326016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127326497
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505127346948
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505127347006
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505127350999
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505127350999
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505127352530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505127357054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127359240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127419955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127420449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127420933
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505127421648
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505127433336
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505127433357
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505127440646
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505127443547
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505127447689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505127455111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127458032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127618173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127618890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127626251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127626635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127627748
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505127631923
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505127634413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505127639946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505129092574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505129099296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130299119
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505130301093
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130310229
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130310275
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505130315894
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130315894
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505130316917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505130317863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130318428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130361182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130361754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130395246
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505130397044
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130414457
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130415042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130421421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130433763
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130436353
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505130438055
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1505130440020
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505130441286
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130442122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130443495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130449037
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505130451380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130468254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130501778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505130519672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130529105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130690267
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505130702687
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1505130727954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130729823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130812812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130813457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130846299
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1505130848474
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130849108
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505130850069
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505130850542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505130856034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131259651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131272758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131277637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131288436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131324244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131331277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131356561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131356916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131357276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131360861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131371328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131372507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131375474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131376794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131386056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131399379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131406793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131410233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1505131410259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131418314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131421324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131580662
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505131583853
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505131586576
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505131589908
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505131589922
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505131592831
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505131593037
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505131593052
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505131595807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131599277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131623519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131624280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131639289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131639959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131641496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131644192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131672076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131672647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131680296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131682072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131733248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131733985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131741335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131742179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131760220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131760799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131765583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131766267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131777725
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505131778371
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505131779639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505131790874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505131791170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131792450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131798017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131798619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131828779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131833745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131882583
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505131890048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505131901930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505131902361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131902995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131930075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131930763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131960376
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505131965021
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505131965622
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505131966279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505131967370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505133598037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505133603334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505133739552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505133742893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505133939483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505133941192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505133969352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505133970417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134209103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134210344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134212598
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505134262077
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1505134262162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134286390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134393050
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505134396634
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505134421935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134425822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134528391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134535937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134588391
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505134590952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134603413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134681695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134684501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134784744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134788479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134790241
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1505134791077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134793876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134997104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505134999527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505135080583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505135081851
